window_end_time,vehicle_id,window_duration,record_count,instantaneous_power,battery_temp_rate,motor_temp_rate,avg_speed,max_speed,min_speed,soc_rate,latest_soc,energy_consumed,battery_temperature,motor_temperature,battery_voltage,battery_current
2026-06-05 19:45:30,EV_001,1.0,2,3.09,0.0,0.1,4.43,4.68,4.18,0.0,86.5,0.0043,25.2,25.1,382.0,8.1
2026-06-05 19:45:35,EV_001,1.0,3,6.1,0.1,0.1,3.6,4.68,1.95,0.0,86.5,0.0128,25.3,25.1,391.3,15.6
2026-06-05 19:45:40,EV_001,1.0,4,5.23,0.3,0.1,6.8,16.4,1.95,0.0,86.5,0.02,25.5,25.1,387.6,13.5
2026-06-05 19:45:45,EV_001,1.0,5,13.96,0.5,0.3,8.7,16.4,1.95,0.0,86.5,0.0394,25.7,25.3,384.6,36.3
2026-06-05 19:45:50,EV_001,1.0,6,11.64,0.7,0.4,10.37,18.7,1.95,0.0,86.5,0.0556,25.9,25.4,385.5,30.2
2026-06-05 19:45:55,EV_001,1.0,7,21.74,1.1,0.5,12.19,23.13,1.95,-360.0,86.4,0.0858,26.3,25.5,403.3,53.9
2026-06-05 19:46:00,EV_001,1.0,8,11.52,1.6,0.8,13.5,23.13,1.95,-360.0,86.4,0.1018,26.8,25.8,383.9,30.0
2026-06-05 19:46:05,EV_001,1.0,9,9.33,2.1,0.9,14.73,24.54,1.95,-360.0,86.4,0.1147,27.3,25.9,373.1,25.0
2026-06-05 19:46:10,EV_001,1.0,10,9.31,2.6,1.3,16.17,29.15,1.95,-360.0,86.4,0.1277,27.8,26.3,386.2,24.1
2026-06-05 19:46:15,EV_001,1.0,11,14.51,3.5,1.7,15.36,29.15,1.95,-720.0,86.3,0.1478,28.7,26.7,390.1,37.2
2026-06-05 19:46:20,EV_001,1.0,12,6.04,4.4,2.1,14.18,29.15,1.22,-720.0,86.3,0.1562,29.6,27.1,394.9,15.3
2026-06-05 19:46:25,EV_001,1.0,13,15.0,5.5,2.6,15.22,29.15,1.22,-720.0,86.3,0.177,30.7,27.6,384.5,39.0
2026-06-05 19:46:30,EV_001,1.0,14,13.03,6.9,3.1,14.88,29.15,1.22,-720.0,86.3,0.1951,32.1,28.1,387.8,33.6
2026-06-05 19:46:35,EV_001,1.0,15,15.75,8.4,3.5,15.2,29.15,1.22,-1080.0,86.2,0.217,33.6,28.5,389.9,40.4
2026-06-05 19:46:40,EV_001,1.0,16,13.55,10.4,4.1,14.74,29.15,1.22,-1080.0,86.2,0.2358,35.6,29.1,385.0,35.2
2026-06-05 19:46:45,EV_001,1.0,17,8.82,12.7,4.8,14.19,29.15,1.22,-1080.0,86.2,0.2481,37.9,29.8,385.1,22.9
2026-06-05 19:46:50,EV_001,1.0,18,12.71,15.5,5.5,13.68,29.15,1.22,-1080.0,86.2,0.2657,40.7,30.5,389.8,32.6
2026-06-05 19:46:55,EV_001,1.0,19,10.65,18.9,6.5,14.06,29.15,1.22,-1080.0,86.2,0.2805,44.1,31.5,393.1,27.1
2026-06-05 19:47:00,EV_001,1.0,20,11.43,22.8,7.4,13.87,29.15,1.22,-1440.0,86.1,0.2964,48.0,32.4,382.3,29.9
2026-06-05 19:47:05,EV_001,1.0,21,11.84,27.7,8.5,14.38,29.15,1.22,-1440.0,86.1,0.3129,52.9,33.5,384.5,30.8
